"LOCATION","Country","SKILL","Skills","Value","Flag Codes","Flags"
"FRA","France","11-1","administration and management",-0.136,,
"FRA","France","11-2","management of financial resources",-0.263,,
"FRA","France","11-3","management of material resources",-0.228,,
"FRA","France","11-4","management of personnel resources",-0.137,,
"FRA","France","11-5","time management",-0.161,,
"FRA","France","11","resource management",-0.347,,
"FRA","France","12-1","biology",-0.002,,
"FRA","France","12-2","chemistry",0.213,,
"FRA","France","12-3","geography",0.001,,
"FRA","France","12-4","physics",0.089,,
"FRA","France","12-5","sociology and anthropology",0.065,,
"FRA","France","12","scientific knowledge",0.151,,
"FRA","France","13-1","coordination",-0.145,,
"FRA","France","13-2","judgment and decision making",-0.091,,
"FRA","France","13-3","persuasion and negotiation",-0.348,,
"FRA","France","13-4","social perceptiveness",-0.295,,
"FRA","France","13","social skills",-0.413,,
"FRA","France","14-1","training and education",0.166,,
"FRA","France","14","training and education",0.341,,
"DEU","Germany","01-1","fine arts",0.001,,
"DEU","Germany","01-2","history and archaeology",0.033,,
"DEU","Germany","01-3","philosophy and theology",0.127,,
"DEU","Germany","01","arts and humanities knowledge",0.111,,
"DEU","Germany","02-1","adaptability/resilience",0.004,,
"DEU","Germany","02-2","motivation/commitment",-0.065,,
"DEU","Germany","02-3","self-management/rigour",0.004,,
"DEU","Germany","02-4","values",0.034,,
"DEU","Germany","02","attitudes",-0.004,,
"DEU","Germany","03-1","clerical",0.062,,
"DEU","Germany","03-2","customer and personal service",-0.033,,
"DEU","Germany","03-3","sales and marketing",-0.078,,
"DEU","Germany","03","business processes",-0.018,,
"DEU","Germany","04-1","learning",0.193,,
"DEU","Germany","04-2","originality",0.009,,
"DEU","Germany","04-3","quantitative abilities",-0.085,,
"DEU","Germany","04-4","reasoning and problem-solving",0.052,,
"DEU","Germany","04","cognitive skills",0.095,,
"DEU","Germany","05-1","active listening",-0.045,,
"DEU","Germany","05-2","communications and media",0.023,,
"DEU","Germany","05-3","reading comprehension",0.058,,
"DEU","Germany","05-4","speaking",0.04,,
"DEU","Germany","05-5","writing",0.053,,
"DEU","Germany","05","communication skills",0.057,,
"DEU","Germany","06-1","computer programming",0.095,,
"DEU","Germany","06-2","digital content creation",0.129,,
"DEU","Germany","06-3","digital data processing",0.035,,
"DEU","Germany","06-4","ict safety, networks and servers",0.115,,
"DEU","Germany","06-5","office tools and collaboration software",0.057,,
"DEU","Germany","06-6","web development and cloud technologies",0.067,,
"DEU","Germany","06","digital skills",0.171,,
"DEU","Germany","07-1","law and government",0.032,,
"DEU","Germany","07-2","public safety and security",0.076,,
"DEU","Germany","07","law and public safety knowledge",0.11,,
"DEU","Germany","08-1","medicine and dentistry",0.039,,
"DEU","Germany","08-2","psychology, therapy, counselling",-0.085,,
"DEU","Germany","08","medicine knowledge",-0.031,,
"DEU","Germany","09-1","auditory and speech abilities",0.123,,
"DEU","Germany","09-2","physical abilities",-0.177,,
"DEU","Germany","09-3","psychomotor abilities",-0.192,,
"DEU","Germany","09","physical skills",-0.179,,
"DEU","Germany","10-1","building and construction",-0.025,,
"DEU","Germany","10-2","design",-0.053,,
"DEU","Germany","10-3","engineering, mechanics and technology",0.11,,
"DEU","Germany","10-4","food production",-0.131,,
"DEU","Germany","10-5","installation and maintenance",0.061,,
"DEU","Germany","10-6","production and processing",0.016,,
"DEU","Germany","10-7","quality control analysis",0.045,,
"DEU","Germany","10-8","telecommunications",0.069,,
"DEU","Germany","10-9","transportation",-0.175,,
"DEU","Germany","10","production and technology knowledge",0.002,,
"DEU","Germany","11-1","administration and management",0.032,,
"DEU","Germany","11-2","management of financial resources",0.071,,
"DEU","Germany","11-3","management of material resources",-0.249,,
"DEU","Germany","11-4","management of personnel resources",0.022,,
"DEU","Germany","11-5","time management",0.026,,
"DEU","Germany","11","resource management",-0.019,,
"DEU","Germany","12-1","biology",0.031,,
"DEU","Germany","12-2","chemistry",0.128,,
"DEU","Germany","12-3","geography",0.132,,
"DEU","Germany","12-4","physics",0.046,,
"DEU","Germany","12-5","sociology and anthropology",-0.047,,
"DEU","Germany","12","scientific knowledge",0.119,,
"DEU","Germany","13-1","coordination",0.006,,
"DEU","Germany","13-2","judgment and decision making",0.006,,
"DEU","Germany","13-3","persuasion and negotiation",0.091,,
"DEU","Germany","13-4","social perceptiveness",0.046,,
"DEU","Germany","13","social skills",0.076,,
"DEU","Germany","14-1","training and education",0.117,,
"DEU","Germany","14","training and education",0.241,,
"GRC","Greece","01-1","fine arts",-0.09,,
"GRC","Greece","01-2","history and archaeology",-0.102,,
"GRC","Greece","01-3","philosophy and theology",-0.263,,
"GRC","Greece","01","arts and humanities knowledge",-0.284,,
"GRC","Greece","02-1","adaptability/resilience",-0.204,,
"GRC","Greece","02-2","motivation/commitment",-0.528,,
"GRC","Greece","02-3","self-management/rigour",-0.319,,
"GRC","Greece","02-4","values",0.045,,
"GRC","Greece","02","attitudes",-0.465,,
"GRC","Greece","03-1","clerical",0.03,,
"GRC","Greece","03-2","customer and personal service",-0.505,,
"GRC","Greece","03-3","sales and marketing",-0.296,,
"GRC","Greece","03","business processes",-0.477,,
"GRC","Greece","04-1","learning",0.379,,
"GRC","Greece","04-2","originality",-0.133,,
"GRC","Greece","04-3","quantitative abilities",-0.288,,
"GRC","Greece","04-4","reasoning and problem-solving",0.011,,
"GRC","Greece","04","cognitive skills",0.036,,
"GRC","Greece","05-1","active listening",-0.266,,
"GRC","Greece","05-2","communications and media",-0.189,,
"GRC","Greece","05-3","reading comprehension",-0.138,,
"GRC","Greece","05-4","speaking",-0.101,,
"GRC","Greece","05-5","writing",-0.041,,
"GRC","Greece","05","communication skills",-0.265,,
"GRC","Greece","06-1","computer programming",-0.005,,
"GRC","Greece","06-2","digital content creation",0.035,,
"GRC","Greece","06-3","digital data processing",-0.014,,
"GRC","Greece","06-4","ict safety, networks and servers",-0.034,,
"GRC","Greece","06-5","office tools and collaboration software",-0.038,,
"GRC","Greece","06-6","web development and cloud technologies",-0.158,,
"GRC","Greece","06","digital skills",-0.064,,
"GRC","Greece","07-1","law and government",0.009,,
"GRC","Greece","07-2","public safety and security",0.027,,
"GRC","Greece","07","law and public safety knowledge",0.038,,
"GRC","Greece","08-1","medicine and dentistry",0.005,,
"GRC","Greece","08-2","psychology, therapy, counselling",0.134,,
"GRC","Greece","08","medicine knowledge",0.143,,
"GRC","Greece","09-1","auditory and speech abilities",-0.114,,
"GRC","Greece","09-2","physical abilities",-0.42,,
"GRC","Greece","09-3","psychomotor abilities",0.053,,
"GRC","Greece","09","physical skills",-0.29,,
"GRC","Greece","10-1","building and construction",-0.235,,
"GRC","Greece","10-2","design",-0.256,,
"GRC","Greece","10-3","engineering, mechanics and technology",-0.132,,
"GRC","Greece","10-4","food production",-0.519,,
"GRC","Greece","10-5","installation and maintenance",-0.635,,
"GRC","Greece","10-6","production and processing",-0.142,,
"GRC","Greece","10-7","quality control analysis",-0.164,,
"GRC","Greece","10-8","telecommunications",-0.055,,
"GRC","Greece","10-9","transportation",-0.333,,
"GRC","Greece","10","production and technology knowledge",-0.515,,
"GRC","Greece","11-1","administration and management",-0.048,,
"GRC","Greece","11-2","management of financial resources",-0.093,,
"GRC","Greece","11-3","management of material resources",-0.466,,
"GRC","Greece","11-4","management of personnel resources",-0.052,,
"GRC","Greece","11-5","time management",-0.209,,
"GRC","Greece","11","resource management",-0.326,,
"GRC","Greece","12-1","biology",0.071,,
"GRC","Greece","12-2","chemistry",-0.02,,
"GRC","Greece","12-3","geography",-0.068,,
"GRC","Greece","12-4","physics",-0.084,,
"GRC","Greece","12-5","sociology and anthropology",-0.197,,
"GRC","Greece","12","scientific knowledge",-0.104,,
"GRC","Greece","13-1","coordination",-0.212,,
"GRC","Greece","13-2","judgment and decision making",0.039,,
"GRC","Greece","13-3","persuasion and negotiation",-0.067,,
"GRC","Greece","13-4","social perceptiveness",-0.217,,
"GRC","Greece","13","social skills",-0.209,,
"GRC","Greece","14-1","training and education",0.102,,
"GRC","Greece","14","training and education",0.21,,
"HUN","Hungary","01-1","fine arts",0.009,,
"HUN","Hungary","01-2","history and archaeology",-0.07,,
"HUN","Hungary","01-3","philosophy and theology",0.132,,
"HUN","Hungary","01","arts and humanities knowledge",0.06,,
"HUN","Hungary","02-1","adaptability/resilience",-0.012,,
"HUN","Hungary","02-2","motivation/commitment",-0.55,,
"HUN","Hungary","02-3","self-management/rigour",-0.235,,
"HUN","Hungary","02-4","values",-0.155,,
"HUN","Hungary","02","attitudes",-0.447,,
"HUN","Hungary","03-1","clerical",0.101,,
"HUN","Hungary","03-2","customer and personal service",-0.451,,
"HUN","Hungary","03-3","sales and marketing",-0.171,,
"HUN","Hungary","03","business processes",-0.306,,
"HUN","Hungary","04-1","learning",0.013,,
"HUN","Hungary","04-2","originality",-0.065,,
"HUN","Hungary","04-3","quantitative abilities",-0.35,,
"HUN","Hungary","04-4","reasoning and problem-solving",0.105,,
"HUN","Hungary","04","cognitive skills",-0.122,,
"HUN","Hungary","05-1","active listening",-0.321,,
"HUN","Hungary","05-2","communications and media",-0.153,,
"HUN","Hungary","05-3","reading comprehension",-0.047,,
"HUN","Hungary","05-4","speaking",-0.07,,
"HUN","Hungary","05-5","writing",0.039,,
"HUN","Hungary","05","communication skills",-0.202,,
"HUN","Hungary","06-1","computer programming",0.223,,
"HUN","Hungary","06-2","digital content creation",0.314,,
"HUN","Hungary","06-3","digital data processing",0.083,,
"HUN","Hungary","06-4","ict safety, networks and servers",0.077,,
"HUN","Hungary","06-5","office tools and collaboration software",0.063,,
"HUN","Hungary","06-6","web development and cloud technologies",0.03,,
"HUN","Hungary","06","digital skills",0.271,,
"HUN","Hungary","07-1","law and government",0.107,,
"HUN","Hungary","07-2","public safety and security",-0.106,,
"HUN","Hungary","07","law and public safety knowledge",0.026,,
"HUN","Hungary","08-1","medicine and dentistry",-0.077,,
"HUN","Hungary","08-2","psychology, therapy, counselling",-0.025,,
"HUN","Hungary","08","medicine knowledge",-0.096,,
"HUN","Hungary","09-1","auditory and speech abilities",-0.025,,
"HUN","Hungary","09-2","physical abilities",-0.568,,
"HUN","Hungary","09-3","psychomotor abilities",-0.173,,
"HUN","Hungary","09","physical skills",-0.479,,
"HUN","Hungary","10-1","building and construction",0.116,,
"HUN","Hungary","10-2","design",0.089,,
"HUN","Hungary","10-3","engineering, mechanics and technology",0.226,,
"HUN","Hungary","10-4","food production",-0.596,,
"HUN","Hungary","10-5","installation and maintenance",-0.417,,
"HUN","Hungary","10-6","production and processing",0.068,,
"HUN","Hungary","10-7","quality control analysis",0.05,,
"HUN","Hungary","10-8","telecommunications",0.131,,
"HUN","Hungary","10-9","transportation",-0.548,,
"HUN","Hungary","10","production and technology knowledge",-0.138,,
"HUN","Hungary","11-1","administration and management",0.001,,
"HUN","Hungary","11-2","management of financial resources",0.056,,
"HUN","Hungary","11-3","management of material resources",-0.56,,
"HUN","Hungary","11-4","management of personnel resources",-0.011,,
"HUN","Hungary","11-5","time management",-0.148,,
"HUN","Hungary","11","resource management",-0.242,,
"HUN","Hungary","12-1","biology",0.051,,
"HUN","Hungary","12-2","chemistry",0.266,,
"HUN","Hungary","12-3","geography",0.155,,
"HUN","Hungary","12-4","physics",0.153,,
"HUN","Hungary","12-5","sociology and anthropology",-0.088,,
"HUN","Hungary","12","scientific knowledge",0.229,,
"HUN","Hungary","13-1","coordination",-0.189,,
"HUN","Hungary","13-2","judgment and decision making",-0.032,,
"HUN","Hungary","13-3","persuasion and negotiation",0.123,,
"HUN","Hungary","13-4","social perceptiveness",-0.166,,
"HUN","Hungary","13","social skills",-0.105,,
"HUN","Hungary","14-1","training and education",-0.118,,
"HUN","Hungary","14","training and education",-0.221,,
"ISL","Iceland","01-1","fine arts",0.041,,
"ISL","Iceland","01-2","history and archaeology",0.087,,
"ISL","Iceland","01-3","philosophy and theology",-0.224,,
"ISL","Iceland","01","arts and humanities knowledge",-0.035,,
"ISL","Iceland","02-1","adaptability/resilience",0.019,,
"ISL","Iceland","02-2","motivation/commitment",-0.23,,
"ISL","Iceland","02-3","self-management/rigour",-0.158,,
"ISL","Iceland","02-4","values",-0.077,,
"ISL","Iceland","02","attitudes",-0.206,,
"ISL","Iceland","03-1","clerical",-0.102,,
"ISL","Iceland","03-2","customer and personal service",-0.261,,
"ISL","Iceland","03-3","sales and marketing",-0.02,,
"ISL","Iceland","03","business processes",-0.239,,
"ISL","Iceland","04-1","learning",0.117,,
"ISL","Iceland","04-2","originality",0.066,,
"ISL","Iceland","04-3","quantitative abilities",-0.039,,
"ISL","Iceland","04-4","reasoning and problem-solving",0.032,,
"ISL","Iceland","04","cognitive skills",0.095,,
"ISL","Iceland","05-1","active listening",-0.273,,
"ISL","Iceland","05-2","communications and media",-0.045,,
"ISL","Iceland","05-3","reading comprehension",0.093,,
"ISL","Iceland","05-4","speaking",-0.063,,
"ISL","Iceland","05-5","writing",0.031,,
"ISL","Iceland","05","communication skills",-0.082,,
"ISL","Iceland","06-1","computer programming",0.057,,
"ISL","Iceland","06-2","digital content creation",0.102,,
"ISL","Iceland","06-3","digital data processing",0.008,,
"ISL","Iceland","06-4","ict safety, networks and servers",0.086,,
"ISL","Iceland","06-5","office tools and collaboration software",0.03,,
"ISL","Iceland","06-6","web development and cloud technologies",0.04,,
"ISL","Iceland","06","digital skills",0.111,,
"ISL","Iceland","07-1","law and government",0.187,,
"ISL","Iceland","07-2","public safety and security",-0.071,,
"ISL","Iceland","07","law and public safety knowledge",0.137,,
"ISL","Iceland","08-1","medicine and dentistry",-0.121,,
"ISL","Iceland","08-2","psychology, therapy, counselling",0.115,,
"ISL","Iceland","08","medicine knowledge",0.024,,
"ISL","Iceland","09-1","auditory and speech abilities",-0.033,,
"ISL","Iceland","09-2","physical abilities",-0.455,,
"ISL","Iceland","09-3","psychomotor abilities",-0.121,,
"ISL","Iceland","09","physical skills",-0.381,,
"ISL","Iceland","10-1","building and construction",0.017,,
"ISL","Iceland","10-2","design",-0.034,,
"ISL","Iceland","10-3","engineering, mechanics and technology",0.098,,
"ISL","Iceland","10-4","food production",-0.284,,
"ISL","Iceland","10-5","installation and maintenance",-0.307,,
"ISL","Iceland","10-6","production and processing",0.112,,
"ISL","Iceland","10-7","quality control analysis",0.123,,
"ISL","Iceland","10-8","telecommunications",0.056,,
"ISL","Iceland","10-9","transportation",-0.109,,
"ISL","Iceland","10","production and technology knowledge",-0.042,,
"ISL","Iceland","11-1","administration and management",0.127,,
"ISL","Iceland","11-2","management of financial resources",0.161,,
"ISL","Iceland","11-3","management of material resources",-0.396,,
"ISL","Iceland","11-4","management of personnel resources",0.088,,
"ISL","Iceland","11-5","time management",-0.02,,
"ISL","Iceland","11","resource management",0.025,,
"ISL","Iceland","12-1","biology",-0.041,,
"ISL","Iceland","12-2","chemistry",-0.041,,
"ISL","Iceland","12-3","geography",0.105,,
"ISL","Iceland","12-4","physics",0.077,,
"ISL","Iceland","12-5","sociology and anthropology",0.095,,
"ISL","Iceland","12","scientific knowledge",0.089,,
"ISL","Iceland","13-1","coordination",-0.022,,
"ISL","Iceland","13-2","judgment and decision making",-0.184,,
"ISL","Iceland","13-3","persuasion and negotiation",0.336,,
"ISL","Iceland","13-4","social perceptiveness",0.131,,
"ISL","Iceland","13","social skills",0.159,,
"ISL","Iceland","14-1","training and education",-0.075,,
"ISL","Iceland","14","training and education",-0.14,,
"IRL","Ireland","01-1","fine arts",0.131,,
"IRL","Ireland","01-2","history and archaeology",0.035,,
"IRL","Ireland","01-3","philosophy and theology",-0.319,,
"IRL","Ireland","01","arts and humanities knowledge",-0.063,,
"IRL","Ireland","02-1","adaptability/resilience",0.062,,
"IRL","Ireland","02-2","motivation/commitment",-0.286,,
"IRL","Ireland","02-3","self-management/rigour",-0.218,,
"IRL","Ireland","02-4","values",0.006,,
"IRL","Ireland","02","attitudes",-0.194,,
"IRL","Ireland","03-1","clerical",-0.354,,
"IRL","Ireland","03-2","customer and personal service",-0.323,,
"IRL","Ireland","03-3","sales and marketing",-0.433,,
"IRL","Ireland","03","business processes",-0.695,,
"IRL","Ireland","04-1","learning",0.365,,
"IRL","Ireland","04-2","originality",-0.005,,
"IRL","Ireland","04-3","quantitative abilities",-0.373,,
"IRL","Ireland","04-4","reasoning and problem-solving",0.03,,
"IRL","Ireland","04","cognitive skills",0.056,,
"IRL","Ireland","05-1","active listening",-0.395,,
"IRL","Ireland","05-2","communications and media",-0.078,,
"IRL","Ireland","05-3","reading comprehension",0.048,,
"IRL","Ireland","05-4","speaking",-0.064,,
"IRL","Ireland","05-5","writing",0.002,,
"IRL","Ireland","05","communication skills",-0.179,,
"IRL","Ireland","06-1","computer programming",0.085,,
"IRL","Ireland","06-2","digital content creation",0.225,,
"IRL","Ireland","06-3","digital data processing",-0.16,,
"IRL","Ireland","06-4","ict safety, networks and servers",0.056,,
"IRL","Ireland","06-5","office tools and collaboration software",-0.11,,
"IRL","Ireland","06-6","web development and cloud technologies",-0.004,,
"IRL","Ireland","06","digital skills",0.054,,
"IRL","Ireland","07-1","law and government",0,,
"IRL","Ireland","07-2","public safety and security",0.073,,
"IRL","Ireland","07","law and public safety knowledge",0.075,,
"IRL","Ireland","08-1","medicine and dentistry",0.178,,
"IRL","Ireland","08-2","psychology, therapy, counselling",0.277,,
"IRL","Ireland","08","medicine knowledge",0.467,,
"IRL","Ireland","09-1","auditory and speech abilities",0.041,,
"IRL","Ireland","09-2","physical abilities",-0.341,,
"IRL","Ireland","09-3","psychomotor abilities",-0.206,,
"IRL","Ireland","09","physical skills",-0.309,,
"IRL","Ireland","10-1","building and construction",0.232,,
"IRL","Ireland","10-2","design",0.03,,
"IRL","Ireland","10-3","engineering, mechanics and technology",0.272,,
"IRL","Ireland","10-4","food production",-0.398,,
"IRL","Ireland","10-5","installation and maintenance",-0.059,,
"IRL","Ireland","10-6","production and processing",0.078,,
"IRL","Ireland","10-7","quality control analysis",0.063,,
"IRL","Ireland","10-8","telecommunications",0.004,,
"IRL","Ireland","10-9","transportation",-0.442,,
"IRL","Ireland","10","production and technology knowledge",-0.001,,
"IRL","Ireland","11-1","administration and management",-0.083,,
"IRL","Ireland","11-2","management of financial resources",-0.117,,
"IRL","Ireland","11-3","management of material resources",-0.718,,
"IRL","Ireland","11-4","management of personnel resources",-0.129,,
"IRL","Ireland","11-5","time management",-0.121,,
"IRL","Ireland","11","resource management",-0.439,,
"IRL","Ireland","12-1","biology",0.016,,
"IRL","Ireland","12-2","chemistry",0.215,,
"IRL","Ireland","12-3","geography",0.161,,
"IRL","Ireland","12-4","physics",0.144,,
"IRL","Ireland","12-5","sociology and anthropology",0.009,,
"IRL","Ireland","12","scientific knowledge",0.224,,
"IRL","Ireland","13-1","coordination",-0.081,,
"IRL","Ireland","13-2","judgment and decision making",-0.075,,
"IRL","Ireland","13-3","persuasion and negotiation",-0.002,,
"IRL","Ireland","13-4","social perceptiveness",-0.179,,
"IRL","Ireland","13","social skills",-0.159,,
"IRL","Ireland","14-1","training and education",0.218,,
"IRL","Ireland","14","training and education",0.449,,
"ITA","Italy","01-1","fine arts",0.034,,
"ITA","Italy","01-2","history and archaeology",-0.022,,
"ITA","Italy","01-3","philosophy and theology",-0.22,,
"ITA","Italy","01","arts and humanities knowledge",-0.123,,
"ITA","Italy","02-1","adaptability/resilience",-0.487,,
"ITA","Italy","02-2","motivation/commitment",-0.566,,
"ITA","Italy","02-3","self-management/rigour",-0.233,,
"ITA","Italy","02-4","values",0.052,,
"ITA","Italy","02","attitudes",-0.572,,
"ITA","Italy","03-1","clerical",0.013,,
"ITA","Italy","03-2","customer and personal service",-0.606,,
"ITA","Italy","03-3","sales and marketing",-0.656,,
"ITA","Italy","03","business processes",-0.779,,
"ITA","Italy","04-1","learning",0.677,,
"ITA","Italy","04-2","originality",-0.211,,
"ITA","Italy","04-3","quantitative abilities",-0.154,,
"ITA","Italy","04-4","reasoning and problem-solving",-0.135,,
"ITA","Italy","04","cognitive skills",0.153,,
"ITA","Italy","05-1","active listening",-0.508,,
"ITA","Italy","05-2","communications and media",-0.299,,
"ITA","Italy","05-3","reading comprehension",-0.329,,
"ITA","Italy","05-4","speaking",-0.24,,
"ITA","Italy","05-5","writing",-0.107,,
"ITA","Italy","05","communication skills",-0.554,,
"ITA","Italy","06-1","computer programming",-0.012,,
"ITA","Italy","06-2","digital content creation",0.105,,
"ITA","Italy","06-3","digital data processing",-0.016,,
"ITA","Italy","06-4","ict safety, networks and servers",0.007,,
"ITA","Italy","06-5","office tools and collaboration software",-0.083,,
"ITA","Italy","06-6","web development and cloud technologies",-0.039,,
"ITA","Italy","06","digital skills",-0.001,,
"ITA","Italy","07-1","law and government",-0.146,,
"ITA","Italy","07-2","public safety and security",-0.19,,
"ITA","Italy","07","law and public safety knowledge",-0.315,,
"ITA","Italy","08-1","medicine and dentistry",-0.268,,
"ITA","Italy","08-2","psychology, therapy, counselling",-0.075,,
"ITA","Italy","08","medicine knowledge",-0.322,,
"ITA","Italy","09-1","auditory and speech abilities",0.038,,
"ITA","Italy","09-2","physical abilities",-0.397,,
"ITA","Italy","09-3","psychomotor abilities",-0.223,,
"ITA","Italy","09","physical skills",-0.357,,
"ITA","Italy","10-1","building and construction",-0.301,,
"ITA","Italy","10-2","design",-0.372,,
"ITA","Italy","10-3","engineering, mechanics and technology",-0.017,,
"ITA","Italy","10-4","food production",-0.474,,
"ITA","Italy","10-5","installation and maintenance",-0.334,,
"ITA","Italy","10-6","production and processing",-0.03,,
"ITA","Italy","10-7","quality control analysis",-0.053,,
"ITA","Italy","10-8","telecommunications",-0.07,,
"ITA","Italy","10-9","transportation",0.026,,
"ITA","Italy","10","production and technology knowledge",-0.337,,
"ITA","Italy","11-1","administration and management",-0.359,,
"ITA","Italy","11-2","management of financial resources",-0.244,,
"ITA","Italy","11-3","management of material resources",-0.835,,
"ITA","Italy","11-4","management of personnel resources",-0.313,,
"ITA","Italy","11-5","time management",-0.27,,
"ITA","Italy","11","resource management",-0.759,,
"ITA","Italy","12-1","biology",-0.113,,
"ITA","Italy","12-2","chemistry",-0.134,,
"ITA","Italy","12-3","geography",0.105,,
"ITA","Italy","12-4","physics",0.046,,
"ITA","Italy","12-5","sociology and anthropology",-0.034,,
"ITA","Italy","12","scientific knowledge",-0.03,,
"ITA","Italy","13-1","coordination",-0.339,,
"ITA","Italy","13-2","judgment and decision making",-0.279,,
"ITA","Italy","13-3","persuasion and negotiation",-0.292,,
"ITA","Italy","13-4","social perceptiveness",-0.065,,
"ITA","Italy","13","social skills",-0.458,,
"ITA","Italy","14-1","training and education",0.321,,
"ITA","Italy","14","training and education",0.659,,
"KOR","Korea","01-1","fine arts",0.078,,
"KOR","Korea","01-2","history and archaeology",-0.021,,
"KOR","Korea","01-3","philosophy and theology",-0.49,,
"KOR","Korea","01","arts and humanities knowledge",-0.255,,
"KOR","Korea","02-1","adaptability/resilience",0.023,,
"KOR","Korea","02-2","motivation/commitment",-0.186,,
"KOR","Korea","02-3","self-management/rigour",-0.219,,
"KOR","Korea","02-4","values",-0.191,,
"KOR","Korea","02","attitudes",-0.265,,
"KOR","Korea","03-1","clerical",-0.417,,
"KOR","Korea","03-2","customer and personal service",-0.327,,
"KOR","Korea","03-3","sales and marketing",-0.353,,
"KOR","Korea","03","business processes",-0.686,,
"KOR","Korea","04-1","learning",0.174,,
"KOR","Korea","04-2","originality",-0.042,,
"KOR","Korea","04-3","quantitative abilities",-0.221,,
"KOR","Korea","04-4","reasoning and problem-solving",-0.036,,
"KOR","Korea","04","cognitive skills",-0.032,,
"KOR","Korea","05-1","active listening",-0.122,,
"KOR","Korea","05-2","communications and media",-0.137,,
"KOR","Korea","05-3","reading comprehension",-0.033,,
"KOR","Korea","05-4","speaking",-0.182,,
"KOR","Korea","05-5","writing",-0.112,,
"KOR","Korea","05","communication skills",-0.22,,
"KOR","Korea","06-1","computer programming",0.08,,
"KOR","Korea","06-2","digital content creation",0.194,,
"KOR","Korea","06-3","digital data processing",-0.192,,
"KOR","Korea","06-4","ict safety, networks and servers",-0.008,,
"KOR","Korea","06-5","office tools and collaboration software",-0.215,,
"KOR","Korea","06-6","web development and cloud technologies",-0.122,,
"KOR","Korea","06","digital skills",-0.055,,
"KOR","Korea","07-1","law and government",-0.097,,
"KOR","Korea","07-2","public safety and security",-0.013,,
"KOR","Korea","07","law and public safety knowledge",-0.103,,
"KOR","Korea","08-1","medicine and dentistry",0.116,,
"KOR","Korea","08-2","psychology, therapy, counselling",0.119,,
"KOR","Korea","08","medicine knowledge",0.241,,
"KOR","Korea","09-1","auditory and speech abilities",-0.209,,
"KOR","Korea","09-2","physical abilities",-0.122,,
"KOR","Korea","09-3","psychomotor abilities",0.152,,
"KOR","Korea","09","physical skills",-0.015,,
"KOR","Korea","10-1","building and construction",0.132,,
"KOR","Korea","10-2","design",0.083,,
"KOR","Korea","10-3","engineering, mechanics and technology",0.233,,
"KOR","Korea","10-4","food production",-0.045,,
"KOR","Korea","10-5","installation and maintenance",0.068,,
"KOR","Korea","10-6","production and processing",0.071,,
"KOR","Korea","10-7","quality control analysis",0.11,,
"KOR","Korea","10-8","telecommunications",-0.027,,
"KOR","Korea","10-9","transportation",-0.311,,
"KOR","Korea","10","production and technology knowledge",0.092,,
"KOR","Korea","11-1","administration and management",-0.128,,
"KOR","Korea","11-2","management of financial resources",-0.344,,
"KOR","Korea","11-3","management of material resources",-0.232,,
"KOR","Korea","11-4","management of personnel resources",-0.164,,
"KOR","Korea","11-5","time management",-0.149,,
"KOR","Korea","11","resource management",-0.382,,
"KOR","Korea","12-1","biology",0.145,,
"KOR","Korea","12-2","chemistry",0.304,,
"KOR","Korea","12-3","geography",0.152,,
"KOR","Korea","12-4","physics",0.21,,
"KOR","Korea","12-5","sociology and anthropology",0.084,,
"KOR","Korea","12","scientific knowledge",0.372,,
"KOR","Korea","13-1","coordination",-0.104,,
"KOR","Korea","13-2","judgment and decision making",-0.145,,
"KOR","Korea","13-3","persuasion and negotiation",-0.369,,
"KOR","Korea","13-4","social perceptiveness",-0.222,,
"KOR","Korea","13","social skills",-0.395,,
"KOR","Korea","14-1","training and education",0.142,,
"KOR","Korea","14","training and education",0.292,,
"LUX","Luxembourg","01-1","fine arts",0.002,,
"LUX","Luxembourg","01-2","history and archaeology",-0.014,,
"LUX","Luxembourg","01-3","philosophy and theology",0.139,,
"LUX","Luxembourg","01","arts and humanities knowledge",0.089,,
"LUX","Luxembourg","02-1","adaptability/resilience",-0.095,,
"LUX","Luxembourg","02-2","motivation/commitment",-0.093,,
"LUX","Luxembourg","02-3","self-management/rigour",-0.046,,
"LUX","Luxembourg","02-4","values",-0.02,,
"LUX","Luxembourg","02","attitudes",-0.119,,
"LUX","Luxembourg","03-1","clerical",-0.257,,
"LUX","Luxembourg","03-2","customer and personal service",-0.051,,
"LUX","Luxembourg","03-3","sales and marketing",0.084,,
"LUX","Luxembourg","03","business processes",-0.124,,
"LUX","Luxembourg","04-1","learning",0.171,,
"LUX","Luxembourg","04-2","originality",0.103,,
"LUX","Luxembourg","04-3","quantitative abilities",-0.196,,
"LUX","Luxembourg","04-4","reasoning and problem-solving",0.043,,
"LUX","Luxembourg","04","cognitive skills",0.086,,
"LUX","Luxembourg","05-1","active listening",0.075,,
"LUX","Luxembourg","05-2","communications and media",-0.005,,
"LUX","Luxembourg","05-3","reading comprehension",0.055,,
"LUX","Luxembourg","05-4","speaking",0.016,,
"LUX","Luxembourg","05-5","writing",0.028,,
"LUX","Luxembourg","05","communication skills",0.07,,
"LUX","Luxembourg","06-1","computer programming",-0.067,,
"LUX","Luxembourg","06-2","digital content creation",-0.043,,
"LUX","Luxembourg","06-3","digital data processing",-0.109,,
"LUX","Luxembourg","06-4","ict safety, networks and servers",-0.002,,
